category,feature_count,total_importance,mean_importance,importance_percentage
ROLLING_MEAN,96,0.3372410702286241,0.003512927814881501,33.7241
STATIC,96,0.2444944641174474,0.0025468173345567437,24.4494
LAG3,96,0.1574149763619013,0.0016397393371031385,15.7415
LAG1,96,0.1517503947834439,0.0015807332789942073,15.175
STABILITY,96,0.1014158547040955,0.0010564151531676615,10.1416
POSITION,4,0.0076831987826152005,0.0019207996956538001,0.7683
