threshold,f1,recall,balanced_accuracy
0.01,0.0071503535943032576,0.9811574697173621,0.7070307218826553
0.02,0.008059009861094011,0.9690444145356663,0.7362926840079148
0.03,0.008617912860624403,0.9542395693135935,0.7486820622966841
0.04,0.009105391998134885,0.946164199192463,0.7588207973993837
0.05,0.009475890412829318,0.9340511440107672,0.7638689688555038
0.06,0.009826990609287722,0.9246298788694481,0.7684743495746253
0.07,0.010203548865899411,0.9205921938088829,0.7745024919112489
0.08,0.010526315789473684,0.9138627187079408,0.7782196613211045
0.09,0.01085159322578056,0.9098250336473755,0.7823876825257434
0.1,0.011159824631327222,0.9044414535666218,0.7855143737973123
0.11,0.011420732230129469,0.8963660834454913,0.786793721731486
0.12,0.01171678256797236,0.892328398384926,0.7896156763639584
0.13,0.012047534986987934,0.8909825033647375,0.7935257983898983
0.14,0.012368780524316536,0.8896366083445492,0.7970759421546034
0.15,0.012596852707075168,0.882907133243607,0.7975266940344983
0.16,0.012895211617520925,0.8802153432032301,0.7999878842829349
0.17,0.013188769317905979,0.8775235531628532,0.8022263642452377
0.18,0.013483798697257602,0.8748317631224765,0.804323374151569
0.19,0.013807335545910987,0.873485868102288,0.8070162934187028
0.2,0.014069452927318734,0.8681022880215343,0.8075685098103111
0.21,0.014326423422920042,0.8627187079407806,0.8079568450479719
0.22,0.014649499284692417,0.8613728129205922,0.810237960389802
0.23,0.014945302068448546,0.8586810228802153,0.8116864491484608
0.24,0.015239008026835988,0.8559892328398385,0.8130102761746298
0.25,0.015573076970239482,0.8546433378196501,0.8150238590343747
0.26,0.015901879883118676,0.8532974427994616,0.816887567676407
0.27,0.016245973795988553,0.8519515477792732,0.8187512763184394
0.28,0.016548432357299275,0.8492597577388964,0.8197361354877255
0.29,0.01683533275249648,0.845222072678331,0.8200326395170592
0.3,0.017098466892271437,0.8398384925975774,0.8195987675977359
0.31,0.017408096724087264,0.8371467025572006,0.8203903310469816
0.32,0.017783250526195216,0.8358008075370121,0.8219851065133053
0.33,0.018191405220142367,0.8358008075370121,0.8241799934213021
0.34,0.018434975494971598,0.8277254374158816,0.822309181396264
0.35,0.01871678230636095,0.8223418573351279,0.82161758185022
0.36,0.019017780214615806,0.8169582772543742,0.8209567975638925
0.37,0.01944173085854299,0.8169582772543742,0.82290656308778
0.38,0.019784143205751815,0.8129205921938089,0.8228220784515264
0.39,0.020173248663773603,0.8102288021534321,0.8234007364700028
0.4,0.020511240091084973,0.8061911170928667,0.8231649769224132
0.41,0.020900180597198115,0.8021534320323015,0.8230664853499248
0.42,0.021283850474669345,0.7981157469717362,0.8228783493855336
0.43,0.021761467889908258,0.7981157469717362,0.8245913976870525
0.44,0.022141880373901805,0.7954239569313594,0.8248072760570468
