smoothing_window,threshold,min_duration,min_peak_probability,true_positive_events,false_positive_events,false_negative_events,total_gt_events,total_predicted_events,precision,recall,f1,balanced_accuracy,mcc,cohen_kappa,alarm_rate,suppression_rate,total_events_before_suppression,suppressed_events,retained_events
3,0.05,3,0.75,12,134,11,23,146,0.082192,0.521739,0.142012,,,,146,0.9799,7271,7125,146
3,0.05,3,0.8,12,115,11,23,127,0.094488,0.521739,0.16,,,,127,0.9825,7271,7144,127
3,0.05,3,0.85,12,97,11,23,109,0.110092,0.521739,0.181818,,,,109,0.985,7271,7162,109
3,0.05,3,0.9,12,84,11,23,96,0.125,0.521739,0.201681,,,,96,0.9868,7271,7175,96
3,0.05,3,0.95,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,3,0.99,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,5,0.5,14,401,9,23,415,0.033735,0.608696,0.063927,,,,415,0.9429,7271,6856,415
3,0.05,5,0.55,14,315,9,23,329,0.042553,0.608696,0.079545,,,,329,0.9548,7271,6942,329
3,0.05,5,0.6,14,250,9,23,264,0.05303,0.608696,0.097561,,,,264,0.9637,7271,7007,264
3,0.05,5,0.65,14,196,9,23,210,0.066667,0.608696,0.120172,,,,210,0.9711,7271,7061,210
3,0.05,5,0.7,12,157,11,23,169,0.071006,0.521739,0.125,,,,169,0.9768,7271,7102,169
3,0.05,5,0.75,12,134,11,23,146,0.082192,0.521739,0.142012,,,,146,0.9799,7271,7125,146
3,0.05,5,0.8,12,115,11,23,127,0.094488,0.521739,0.16,,,,127,0.9825,7271,7144,127
3,0.05,5,0.85,12,97,11,23,109,0.110092,0.521739,0.181818,,,,109,0.985,7271,7162,109
3,0.05,5,0.9,12,84,11,23,96,0.125,0.521739,0.201681,,,,96,0.9868,7271,7175,96
3,0.05,5,0.95,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,5,0.99,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,7,0.5,14,401,9,23,415,0.033735,0.608696,0.063927,,,,415,0.9429,7271,6856,415
3,0.05,7,0.55,14,315,9,23,329,0.042553,0.608696,0.079545,,,,329,0.9548,7271,6942,329
3,0.05,7,0.6,14,250,9,23,264,0.05303,0.608696,0.097561,,,,264,0.9637,7271,7007,264
3,0.05,7,0.65,14,196,9,23,210,0.066667,0.608696,0.120172,,,,210,0.9711,7271,7061,210
3,0.05,7,0.7,12,157,11,23,169,0.071006,0.521739,0.125,,,,169,0.9768,7271,7102,169
3,0.05,7,0.75,12,134,11,23,146,0.082192,0.521739,0.142012,,,,146,0.9799,7271,7125,146
3,0.05,7,0.8,12,115,11,23,127,0.094488,0.521739,0.16,,,,127,0.9825,7271,7144,127
3,0.05,7,0.85,12,97,11,23,109,0.110092,0.521739,0.181818,,,,109,0.985,7271,7162,109
3,0.05,7,0.9,12,84,11,23,96,0.125,0.521739,0.201681,,,,96,0.9868,7271,7175,96
3,0.05,7,0.95,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,7,0.99,12,61,11,23,73,0.164384,0.521739,0.25,,,,73,0.99,7271,7198,73
3,0.05,10,0.5,14,374,9,23,388,0.036082,0.608696,0.068127,,,,388,0.9466,7271,6883,388
3,0.05,10,0.55,14,299,9,23,313,0.044728,0.608696,0.083333,,,,313,0.957,7271,6958,313
3,0.05,10,0.6,14,242,9,23,256,0.054688,0.608696,0.100358,,,,256,0.9648,7271,7015,256
3,0.05,10,0.65,14,192,9,23,206,0.067961,0.608696,0.122271,,,,206,0.9717,7271,7065,206
