metric,value
roc_auc,0.9134285470439525
pr_auc,0.1640162948895362
balanced_accuracy,0.8264191030359203
recall,0.7792732166890982
specificity,0.8735649893827423
precision,0.012666258312915646
f1,0.02492734904746529
mcc,0.0890272739714972
kappa,0.020925113807102602
brier_score,0.0892615094780922
calibration_error,0.4883556968612289
