threshold,precision,recall,specificity,balanced_accuracy,f1,mcc,kappa
0.01,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.02,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.03,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.04,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.05,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.060000000000000005,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.06999999999999999,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.08,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.09,0.006661299232496092,1.0,0.0,0.5,0.013234439900639538,0.0,0.0
0.09999999999999999,0.00666139710095528,1.0,1.4790405168359183e-05,0.5000073952025842,0.013234633055641503,0.00031388654337269995,1.9704950482424266e-07
0.11,0.0066620235271991,1.0,0.00010944899824585795,0.5000547244991229,0.013235869381177857,0.0008539038595429105,1.4583025392811422e-06
0.12,0.0066669803607874506,1.0,0.0008578434997648326,0.5004289217498824,0.013245652218369213,0.0023914902813018733,1.1438386112505583e-05
0.13,0.006687236728770162,1.0,0.0039046669644468243,0.5019523334822235,0.013285629309258624,0.005109934670645438,5.2221501098403955e-05
0.14,0.006731862362877737,0.9977944419938244,0.012734538849957256,0.5052644904218908,0.013373497181337408,0.007659311647617702,0.00014206042965925203
0.15000000000000002,0.006860472210359344,0.992059991177768,0.03693459978642655,0.5144972954820972,0.01362671053388955,0.012537054319321192,0.00040091470366176996
0.16,0.0070474543319909615,0.9850022055580062,0.0693315032672005,0.5271668544126034,0.013994779376972227,0.017441619306037215,0.000777103246321742
0.17,0.00726518761512032,0.9691221879135421,0.11197224136758002,0.5405472146405611,0.01442225635774023,0.020963741401408068,0.0012148544222350122
0.18000000000000002,0.007556736720635031,0.9532421702690781,0.16046997991462977,0.556856075091854,0.014994605133969616,0.025249431577326346,0.0018005895050580145
0.19,0.007871960382895733,0.9311865902073224,0.2129847925054059,0.5720856913563641,0.015611942285363526,0.028691806231914457,0.0024331691850675297
0.2,0.00821467252803262,0.9100132333480371,0.2632218827002547,0.586617558024146,0.01628236445503802,0.032044164977929036,0.0031201495587739325
0.21000000000000002,0.008540140369474342,0.8813409792677548,0.3138553557536155,0.5975981675106852,0.016916362220124374,0.034254494955347506,0.003771382421826841
0.22,0.008899466587642613,0.8478164975738862,0.3668345870666781,0.6073255423202821,0.017614039911105002,0.03625982791201348,0.004489019210648593
0.23,0.00935318870158994,0.8187031318923688,0.41850338848182406,0.6186032601870964,0.018495082261262966,0.039134865695128224,0.005394017876768409
0.24000000000000002,0.009817254802636288,0.7865019850022056,0.4680305392285916,0.6272662621153986,0.01939244966990418,0.041503819564415956,0.006317220285357528
0.25,0.010383637903908992,0.7569475077194531,0.5162235954291732,0.6365855515743131,0.02048624997761555,0.044460381530312475,0.007441736520500286
0.26,0.011006935695625074,0.7322452580502867,0.558790381503711,0.6455178197769988,0.02168786459456105,0.04765736281153069,0.008676443474333162
0.27,0.011533924592599065,0.6987207763564182,0.5984404996790482,0.6485806380177332,0.0226932471830431,0.04927045633351854,0.009714314485576026
0.28,0.012163892445582587,0.6704896338773709,0.6348544772035485,0.6526720555404597,0.02389429916605752,0.051527398022349305,0.010952404522586612
0.29000000000000004,0.012658116654954322,0.6356418173797971,0.6675146498963193,0.6515782336380582,0.024821931494225156,0.05226625190783984,0.011915098666807844
0.3,0.013401792707336177,0.6113806793118659,0.6981781178913615,0.6547793986016137,0.026228639554907934,0.05474905112845246,0.013366066334945748
