feature,generalization_score,stability_score,patient_consistency_score
wavelet_energy_0_max_rolling_mean_5,0.911511,0.36337299999999995,0.637442
wavelet_energy_1_std_lag1,0.634269,0.364077,0.499173
wavelet_energy_1_std,0.634281,0.364077,0.499179
ptp_max_lag3,0.798365,0.36507199999999995,0.5817185
max_max_lag3,0.804872,0.365364,0.585118
wavelet_energy_2_std_rolling_mean_5,0.626112,0.367475,0.4967935
theta_power_std_lag3,0.618708,0.36876299999999995,0.4937355
min_max_lag3,0.631324,0.36910699999999996,0.5002154999999999
alpha_power_mean_stability_5,0.909755,0.37034199999999995,0.6400485
wavelet_energy_0_std_rolling_mean_5,0.912241,0.37163,0.6419355
wavelet_energy_0_mean,0.887337,0.37180199999999997,0.6295695
wavelet_energy_2_std_lag1,0.6316930000000001,0.37544,0.5035665
wavelet_energy_2_std,0.6316459999999999,0.37544,0.503543
wavelet_energy_0_mean_lag1,0.887377,0.37636800000000004,0.6318725000000001
iqr_max,0.790868,0.37666,0.583764
mad_max,0.787777,0.37719100000000005,0.582484
wavelet_energy_1_std_lag3,0.634325,0.37777499999999997,0.50605
std_std_rolling_mean_5,0.895748,0.379475,0.6376115
rms_std_rolling_mean_5,0.895706,0.379475,0.6375905
iqr_max_lag1,0.790864,0.379939,0.5854015
mad_max_lag1,0.787772,0.38047,0.584121
wavelet_energy_2_std_lag3,0.6317630000000001,0.389138,0.5104505
wavelet_energy_0_max,0.9012290000000001,0.389138,0.6451835
wavelet_energy_2_max_stability_5,0.823726,0.389258,0.606492
wavelet_energy_0_std,0.900913,0.39258899999999997,0.646751
iqr_max_lag3,0.790871,0.397208,0.5940395
mad_max_lag3,0.787784,0.399027,0.5934055
wavelet_energy_0_max_lag1,0.901262,0.40611600000000003,0.653689
wavelet_energy_0_std_lag1,0.900946,0.406288,0.653617
iqr_std_rolling_mean_5,0.8520449999999999,0.406288,0.6291665
beta_power_mean_rolling_mean_5,0.602968,0.408466,0.505717
wavelet_energy_0_mean_lag3,0.887464,0.40961899999999996,0.6485415
wavelet_energy_1_mean_stability_5,0.81993,0.409686,0.614808
beta_power_mean,0.5951649999999999,0.41157299999999997,0.503369
beta_power_mean_lag1,0.595189,0.41524799999999995,0.5052185
beta_power_max_rolling_mean_5,0.597898,0.41672299999999995,0.5073105
rms_std,0.891898,0.418235,0.6550665
std_std,0.891723,0.418235,0.654979
theta_power_mean_stability_5,0.799335,0.418991,0.609163
