threshold,f1,recall,balanced_accuracy
0.99,0.2725250278086763,0.3297442799461642,0.6637375781380614
0.98,0.2310137760508654,0.440107671601615,0.7175872143298552
0.97,0.1908335566872152,0.4791386271870794,0.7358826879765341
0.96,0.1622207764042507,0.5033647375504711,0.7467883452547882
0.95,0.1408193123628383,0.5181695827725438,0.7530057810603585
0.94,0.1247244094488189,0.5329744279946165,0.7591881995253418
0.93,0.1129568106312292,0.5491251682368775,0.7660561717430305
0.92,0.1030265596046942,0.5612382234185733,0.7709053014304366
0.91,0.0961517010596765,0.5800807537012113,0.7791275728300546
0.9,0.0903885480572597,0.594885598923284,0.7854038377678112
0.89,0.0854038734057628,0.6083445491251682,0.7910197614380848
0.88,0.0810193321616871,0.620457604306864,0.7959753438408756
0.87,0.0755675764281616,0.620457604306864,0.7948253743759967
0.86,0.0722947045280122,0.6339165545087483,0.8004076813993067
0.85,0.0688510392609699,0.6419919246298789,0.8032967976886165
0.84,0.0658576493046086,0.6500672947510094,0.806205523688655
0.83,0.0626406842883786,0.6554508748317631,0.8076689054212378
0.82,0.0600659260163594,0.6621803499327052,0.8098738686514655
0.81,0.0576308603962121,0.6675639300134589,0.8114072850652224
0.8,0.0549657155496571,0.6689098250336474,0.810861629122887
