patient,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,samples,seizures
chb07,0.1350844277673546,0.4235294117647059,0.9961720501536162,0.20483641536273114,0.2373869560188115,0.9284764153938583,0.19083407232851943,120600,170
chb08,0.11842105263157894,0.038135593220338986,0.9962189616252821,0.057692307692307696,0.060267285711573484,0.7358621159658723,0.040148701050930616,35912,472
chb11,0.37449392712550605,0.45012165450121655,0.9950195831923021,0.4088397790055249,0.406299189143872,0.9714095941544035,0.32354939229830665,62454,411
chb15,0.0,0.0,0.9998869609450065,0.0,-0.0012837844551030712,0.8259293562047942,0.1460296542591663,71819,1047
chb20,0.0019175455417066154,0.011976047904191617,0.9789151745928867,0.003305785123966942,-0.0036775922526835077,0.44029149834496123,0.0034131400763066006,49539,167
