method,val_brier,val_ece,train_brier,train_ece
ORIGINAL,0.00859311642364201,0.008311797215034396,0.008587856128607919,0.007866017389586998
ISOTONIC,0.0070022617585367665,0.00042601694627372245,0.007059314993837624,9.72266534505886e-07
PLATT_SCALING,0.0070357669283000164,0.0005233423036546539,0.007158740504830116,0.0005164388167701582
TEMPERATURE_SCALING,0.008384293230966178,0.0065824587465102575,0.008394392949178379,0.006459215034437415
