metric,phase5b,phase5c_v2,delta,improved
f1,0.3282172373081464,0.12319323993773627,-0.2050239973704101,False
recall,0.24525805028672254,0.12218791354212616,-0.12307013674459638,False
precision,0.495985727029438,0.1242152466367713,-0.3717704803926667,False
mcc,0.3458133152186145,0.11736612534311416,-0.22844718987550036,False
pr_auc,0.2427981113774306,0.05519991286787214,-0.18759819850955844,False
roc_auc,0.7542288629246505,0.715168981736086,-0.039059881188564516,False
