patient,calibration_method,tp,fp,fn,precision,recall,f1
chb02,ISOTONIC,2,0,1,1.0,0.6666666666666666,0.8
chb05,ISOTONIC,5,42,0,0.10638297872340426,1.0,0.1923076923076923
chb09,ISOTONIC,4,7,0,0.36363636363636365,1.0,0.5333333333333333
chb14,ISOTONIC,0,0,8,0.0,0.0,0.0
chb22,ISOTONIC,1,3,2,0.25,0.3333333333333333,0.28571428571428575
