threshold,precision,recall,specificity,f1,balanced_accuracy
0.01,0.04095899619090298,0.4031760035288928,0.9367743422179943,0.07436335530062647,0.6699751728734435
0.02,0.05037707390648567,0.3683281870313189,0.9534988153128933,0.08863178006581042,0.6609135011721061
0.03,0.057267462643883604,0.3533303925893251,0.9610441790797847,0.09856035437430785,0.6571872858345549
0.04,0.06290479274611399,0.3427437141596824,0.9658036078301614,0.10630002052123949,0.6542736609949219
0.05,0.06744580248014988,0.333480370533745,0.9691183682633846,0.11219946571682991,0.6512993693985648
0.060000000000000005,0.07082483241037599,0.321570357300397,0.9717447693553057,0.1160828025477707,0.6466575633278514
0.06999999999999999,0.07507601971269791,0.3158359064843405,0.9739398379844366,0.12131480853947814,0.6448878722343886
0.08,0.07919463087248323,0.3123070136744596,0.975679939495282,0.12634960292674222,0.6439934765848708
0.09,0.0828978622327791,0.3078958976621085,0.9771866487831107,0.130625994198559,0.6425412732226096
0.09999999999999999,0.08586111807470544,0.30216144684605206,0.978454057184049,0.13372376769155686,0.6403077520150505
0.11,0.08917029415644374,0.29819144243493606,0.9796003379755736,0.13728675873273763,0.6388958902052548
0.12,0.09181278475769708,0.2933392148213498,0.9805664045189462,0.13985278654048366,0.636952809670148
0.13,0.09492753623188406,0.28892809880899867,0.9815501970539402,0.14290389440383988,0.6352391479314694
0.14,0.09796226415094339,0.286281429201588,0.9823449123449715,0.14597390913180386,0.6343131707732798
0.15000000000000002,0.10045305421027964,0.28363475959417733,0.9829889567072198,0.14836179049377018,0.6333118581506986
0.16,0.10305591677503251,0.27966475518306133,0.9836979963720803,0.15061171160470366,0.6316813757775708
0.17,0.10588433653684033,0.27701808557565066,0.984333177738518,0.15320809953647233,0.6306756316570843
0.18000000000000002,0.10851360781577112,0.27437141596823994,0.9849033638023433,0.15551943992999126,0.6296373898852916
0.19,0.1104902667627974,0.27040141155712394,0.9854203718913043,0.15687779910428665,0.6279108917242141
0.2,0.11310190369540873,0.26731363034847816,0.9859610146357605,0.15895081967213115,0.6266373224921193
0.21000000000000002,0.11568024596464259,0.2655491839435377,0.9864041644262983,0.16115647169053673,0.625976674184918
0.22,0.11943561208267091,0.2651080723423026,0.9869093551875114,0.16468009316344706,0.6260087137649071
0.23,0.12236113957778233,0.26334362593736216,0.9873495506461124,0.1670864819479429,0.6253465882917373
0.24000000000000002,0.12454988349925863,0.25937362152624616,0.9877897461047134,0.16828849456210648,0.6235816838154797
0.25,0.12643678160919541,0.2571680635200706,0.9880999509580899,0.16952602500726957,0.6226340072390802
0.26,0.1270372851082831,0.250992501102779,0.9884485621266463,0.16869255855321671,0.6197205316147126
0.27,0.12970615243342515,0.24922805469783854,0.9888001276271396,0.17061754491922088,0.6190140911624891
0.28,0.13267233238904627,0.2479047198941332,0.9891457844637592,0.17284330309088114,0.6185252521789462
0.29000000000000004,0.1351285783600194,0.24569916188795765,0.9894678066448834,0.17436218500547815,0.6175834842664205
0.3,0.13810357768326245,0.2434936038817821,0.9898223264773137,0.17624521072796936,0.6166579651795479
0.31,0.14058082755075815,0.24128804587560654,0.9901207140029425,0.17765508281909712,0.6157043799392745
0.32,0.14312071692145492,0.23952359947066607,0.990395466873076,0.17917835340702853,0.614959533171871
0.33,0.14571505812381724,0.23775915306572562,0.9906643110793356,0.1806905799530674,0.6142117320725307
0.34,0.14838530066815145,0.23511248345831495,0.9909626986049644,0.18194231097456903,0.6130375910316397
0.35000000000000003,0.15107296137339055,0.2329069254521394,0.991234497143161,0.1832696980215203,0.6120707112976502
0.36000000000000004,0.15328253223915592,0.23070136744596384,0.9914649350342407,0.18418735692903682,0.6110831512401023
0.37,0.15643802647412755,0.22937803264225848,0.9917160532488788,0.18601323555714538,0.6105470429455686
0.38,0.15897908979089792,0.22805469783855314,0.9919199021525262,0.18735278130096034,0.6099872999955397
0.39,0.16110761485210826,0.2258491398323776,0.9921237510561737,0.18806244260789715,0.6089864454442756
0.4,0.16350177019633086,0.22408469342743714,0.9923216912959473,0.1890584294752512,0.6082031923616922
0.41000000000000003,0.1663379355687048,0.22320247022496692,0.9925078142079732,0.19061970239216425,0.6078551422164701
0.42000000000000004,0.16942847480554615,0.22099691221879136,0.9927441607629267,0.1918070444104135,0.6068705364908591
0.43,0.17228204237582495,0.21879135421261578,0.9929598269943217,0.19277108433734938,0.6058755906034687
0.44,0.17555081734186212,0.21790913101014556,0.9931459499063476,0.1944499114347569,0.6055275404582466
0.45,0.17781818181818182,0.21570357300397,0.9933202554906259,0.19493721347418777,0.6045119142472979
0.46,0.1801566579634465,0.21305690339655933,0.9935063784026518,0.1952303961196443,0.6032816408996056
0.47000000000000003,0.18226977455101262,0.21041023378914867,0.9936777296549931,0.19533169533169534,0.6020439817220709
0.48000000000000004,0.18615565115369573,0.20996912218791355,0.9938520352392713,0.19734660033167495,0.6019105787135924
0.49,0.18899521531100477,0.2090868989854433,0.9939908888403065,0.19853403141361256,0.601538893912875
0.5,0.19207192480588475,0.20732245258050286,0.9941592857607109,0.19940602460755197,0.6007408691706069
0.51,0.19531576746131327,0.20599911777679752,0.9943158653533677,0.20051524259338774,0.6001574915650826
0.52,0.19845692241748822,0.20423467137185708,0.9944753992779612,0.20130434782608697,0.5993550353249092
0.53,0.20096533567354102,0.20202911336568152,0.9946201615428704,0.20149582050153983,0.5983246374542759
0.54,0.20605512878445548,0.2011468901632113,0.9948092387868331,0.20357142857142857,0.5979780644750222
0.55,0.21126105165193113,0.20026466696074108,0.9949924073669221,0.20561594202898553,0.5976285371638316
0.56,0.2162421912542047,0.1985002205558006,0.995181484610885,0.20699172033118673,0.5968408525833427
0.5700000000000001,0.22134387351778656,0.19761799735333038,0.9953439728674155,0.20880913539967375,0.596480985110373
0.5800000000000001,0.22605169792194627,0.19673577415086016,0.9954887351323245,0.21037735849056602,0.5961122546415923
0.59,0.22852680895366997,0.19364799294221438,0.9956216800694859,0.20964660936007642,0.5946348365058501
