method,roc_auc,pr_auc,f1,recall,precision,mcc,calibration_error,brier_score,weighted_score
RAW,0.7224613290913104,0.05616012340296531,0.07168709865732632,0.26534140017286084,0.04144168466522678,0.08993676582302715,0.33867958051479186,0.08714217692613602,0.14290934426781643
PLATT_SCALING,0.7224613290913104,0.05616012340296531,0.0,0.0,0.0,0.0,0.29510857847591315,0.006654735188931227,0.040860583416500874
ISOTONIC_REGRESSION,0.7225019476315147,0.05570610756459605,0.015384615384615385,0.007778738115816767,0.6923076923076923,0.07291482061527246,0.03302914384106847,0.006552398670464754,0.07985745249523381
