method,roc_auc,pr_auc,f1,recall,calibration_error,brier_score,log_loss
RAW,0.7224613290913104,0.05616012340296531,0.07168709865732632,0.26534140017286084,0.33867958051479186,0.08714217692613602,0.33517083525657654
PLATT_SCALING,0.7224613290913104,0.05616012340296531,0.0,0.0,0.29510857719009737,0.006654735391483418,0.03768080687358446
ISOTONIC_REGRESSION,0.7225019476315147,0.05570610756459605,0.015384615384615385,0.007778738115816767,0.03302913777860445,0.006552398959594158,0.03730153511710328
