model,f1,recall,pr_auc,balanced_accuracy,auc,robustness_score,composite_score
extra_trees,0.21905247070809986,0.14314247669773636,0.16064482629734372,0.5711959294055307,0.7507528322065966,0.8338054367814955,0.28508308580044045
ensemble,0.21618798955613577,0.1378162450066578,0.15527481202767396,0.5685938394044365,0.7726375776266414,0.8221678000401333,0.28025098394630377
random_forest,0.1907990314769976,0.1311584553928096,0.13676885380770873,0.565020841219732,0.7728243351971678,0.8394442384780759,0.2673695535964741
hist_gradient_boosting,0.1811320754716981,0.1118508655126498,0.13123452367829674,0.5556431882257662,0.775863571564768,0.7502724480437906,0.24819741115587182
xgboost,0.1770529994175888,0.10119840213049268,0.12709645774542824,0.5505030853602453,0.7669621161958893,0.7616837118113361,0.24390612159502306
