model,auc,pr_auc,f1,recall,precision,specificity,balanced_accuracy,best_threshold
xgboost,0.7669621161958893,0.12709645774542824,0.1770529994175888,0.10119840213049268,0.7069767441860465,0.9998077685899979,0.5505030853602453,0.99
random_forest,0.7728243351971678,0.13676885380770873,0.1907990314769976,0.1311584553928096,0.34991119005328597,0.9988832270466542,0.565020841219732,0.85
extra_trees,0.7507528322065966,0.16064482629734372,0.21905247070809986,0.14314247669773636,0.46637744034707157,0.999249382113325,0.5711959294055307,0.7100000000000001
hist_gradient_boosting,0.775863571564768,0.13123452367829674,0.1811320754716981,0.1118508655126498,0.47592067988668557,0.9994355109388826,0.5556431882257662,0.99
ensemble,0.7726375776266414,0.15527481202767396,0.21618798955613577,0.1378162450066578,0.5012106537530266,0.9993714338022153,0.5685938394044365,0.85
