threshold,precision,recall,specificity,f1,balanced_accuracy,mcc,kappa
0.01,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.02,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.03,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.04,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.05,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.060000000000000005,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.06999999999999999,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.08,0.006661299232496092,1.0,0.0,0.013234439900639538,0.5,0.0,0.0
0.09,0.0066615928465012676,1.0,4.437121550507755e-05,0.013235019382560366,0.5000221856077526,0.0005436754287248879,5.911657687818206e-07
0.09999999999999999,0.006712959535689433,1.0,0.007747214227186539,0.013336392408786606,0.5038736071135933,0.00721156956712065,0.00010400806212296221
0.11,0.0069122245100282165,0.9995588883987648,0.03697009675883061,0.013729505713558646,0.5182644925787977,0.01579791106178192,0.0005050868096733163
0.12,0.00837249004794537,0.9258932509925011,0.26461218078608045,0.016594918744984564,0.5952527158892907,0.03518372962492924,0.003437092352170379
0.13,0.009129418638621092,0.882223202470225,0.3578834338587871,0.018071826474322195,0.620053318164506,0.04078373520137089,0.004950964974541283
0.14,0.009868711815936565,0.8372298191442435,0.4367015030009732,0.019507482321986517,0.6369656610726084,0.04494849544550864,0.006424688730167549
0.15000000000000002,0.010439052570768341,0.7970886634318483,0.4933014254992501,0.020608210210586942,0.6451950444655492,0.04725031179075492,0.00755721553255706
0.16,0.010927513738257023,0.7640052933392149,0.5362705105943673,0.02154684448204222,0.650137901966791,0.048966718819945486,0.008524072599834787
0.17,0.011340780604479234,0.7362152624614028,0.5696021676817815,0.02233747114129889,0.6529087150715922,0.05021369329664625,0.009339521917508531
0.18000000000000002,0.01170975450792961,0.7132774591971769,0.5963018070917034,0.023041244825694477,0.6547896331444402,0.051284295330338577,0.010065764748146688
0.19,0.01214291752807089,0.6969563299514777,0.6197771381749232,0.02386995407299976,0.6583667340632005,0.05301808962393676,0.010918468875369958
0.2,0.012550090630512002,0.6810763123070137,0.6406434417864443,0.024646032531485944,0.660859877046729,0.05447175558488806,0.01171777234568816
0.21000000000000002,0.012971272370931972,0.6656374062637848,0.6603383453086313,0.025446665711081694,0.662987875786208,0.055903419876110805,0.012542628549133239
0.22,0.013535703593493428,0.6581385090427878,0.6783530588036929,0.026525859156932816,0.6682457839232403,0.05849186114438504,0.013649927956471464
0.23,0.014027075517860055,0.6449051610057345,0.6960128025747138,0.027456945931226173,0.6704589817902241,0.06016380003176141,0.014608432647980618
0.24000000000000002,0.014540647719762063,0.6307895897662108,0.7133175766216939,0.028426032679998412,0.6720535831939524,0.06175177745933271,0.015606859339847401
0.25,0.015120304563053395,0.6184384649316277,0.7298650819240542,0.029518896725971154,0.6741517734278409,0.0636368522096981,0.016731842686905307
0.26,0.01574893271222717,0.6069695632995148,0.7456198215093904,0.030701265088466944,0.6762946924044526,0.06565780946216893,0.017948678782182537
0.27,0.016471702926278198,0.5981473312748126,0.7604930529466924,0.032060527249083814,0.6793201921107526,0.06812533154252887,0.01934580158193666
0.28,0.01718979702370206,0.588001764446405,0.7745557701807684,0.03340307969879594,0.6812787673135867,0.07031102995507392,0.020727191506794362
0.29000000000000004,0.017845883933221854,0.5743273048081164,0.7880357454512109,0.03461615154536391,0.6811815251296637,0.07182490891901407,0.021979039829388425
0.3,0.018586820782388987,0.564622849580944,0.8000751352582552,0.035988922159897664,0.6823489924195996,0.07384147080739556,0.023392631647467632
0.31,0.019465431547848033,0.5580061755624173,0.8115051603723632,0.037618580307491004,0.6847556679673903,0.07647209010499674,0.0250677708678001
0.32,0.02025878970069272,0.5469783855315394,0.8226097965727673,0.03907050019692792,0.6847940910521534,0.07827847236884618,0.026564991014308315
0.33,0.021041875930864883,0.5359505955006617,0.8327885534096321,0.04049392591111333,0.6843695744551469,0.07991380638468343,0.028034000442078266
